city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,hub.sku.day,city.sku.day,BasePlan,BaseRev
Mumbai,MUL,80,pr_no2l4pfhc2o,Awadhi Chicken Biryani - Mini,Biryani,Biryani,Chicken,,E,,204.0,Saturday,2023-09-30,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Tail,Low Volume,,Chicken,Biryani,,,,,,,,,,,,,,,,,,,,,
Chandigarh,CDG,53,pr_ncplaqh86z8,Dakshin Pepper Fry Masala,Masalas,Masalas,,,E,,55.0,Monday,2023-10-30,Online,Old,,1.0,1.0,55.0,55.0,,,,VA-Tail,Low Volume,,,Masala,,,,,,,,,,,,,,,,,,,,,
Chennai,TNGR,95,pr_m95jp42ceta,"White Pomfret - Whole, Cleaned",Fish & Seafood,Fish & Seafood,White pomfret Small,,E,,799.0,Friday,2023-04-28,Online,Old,,2.0,3.0,1598.0,2397.0,,,,Tail,Low Volume,,White pomfret,Fish & Seafood - Whole,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Kukatpally,16,pr_ffojtznsds8,Chicken Boneless - Cubes,Chicken,Chicken,Chicken,,E,,339.0,Sunday,2023-04-23,Online,Old,,7.0,8.0,2373.0,2712.0,,,,Tail,High Volume,,Chicken,Chicken - BL,,,,,,,,,,,,,,,,,,,,,
Central_India,RAIPUR,851,pr_av4kgtb3l1h,Chicken Curry Cut Small - Large Pack,Chicken,Chicken,Chicken,,E,,345.0,Saturday,2023-08-26,Online,Old,,8.0,12.0,2760.0,4140.0,,,,Head,Low Volume,,Chicken Curry Cut (Small),Chicken - CC,,,,,,,,,,,,,,,,,,,,,
Mumbai,BLP,504,pr_58d3ae77dcce0,Mutton Soup Bones,Lamb & Goat,Lamb & Goat,Lamb carcass,,E,,509.0,Wednesday,2023-04-05,Online,Old,,1.0,1.0,509.0,509.0,,,,Tail,Low Volume,,Lamb carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,,,,
NCR,CCS,21,pr_590f2bc508b4a,Classic Eggs - Pack Of 6,Eggs,Eggs,Classic egg,,E,,85.0,Thursday,2023-10-19,Online,Old,,6.0,6.0,510.0,510.0,,,,Head,High Volume,,Classic eggs,Eggs,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Hyderabad,-1,pr_inpkaxvya2u,Sea Bass Medium - Boneless Cubes,Fish & Seafood,Fish & Seafood,Sea bass,,P,,755.0,Friday,2024-01-05,Online,Old,,2.0,2.0,1510.0,1510.0,,,,Tail,Low Volume,,Sea bass,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
NCR,NOI,33,pr_avakgtb7ywh,Chicken Curry Cut Large - Large Pack,Chicken,Chicken,Chicken,,E,,359.0,Wednesday,2023-07-19,Online,Old,,36.0,43.0,12924.0,15437.0,,,,Torso,High Volume,,Chicken Curry Cut (Large),Chicken - CC,,,,,,,,,,,,,,,,,,,,,
NCR,NOI,33,pr_12gl5b1q8yz,Chicken Tikka (Mini) - Boneless,Ready to Cook,Ready to Cook,Chicken,,E,Torso,149.0,Saturday,2023-03-18,Online,Old,,3.0,3.0,447.0,447.0,,,,VA-Torso,High AF50,,Chicken,Chicken - BL,,,,,,,,,,,,,,,,,,,,,
Kolkata,Kolkata,-1,pr_578880dc3a5b4,Duck Medium - Curry Cut,Exotic,Exotic,Duck,,P,Tail,325.0,Monday,2023-02-13,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Tail,Non AF50,,Duck,Chicken - CC,,,,52.0,,,,,,,,,,,,,,,,,
Chandigarh,PCK,54,pr_4cyjya5vxs7,Chunky Butter Chicken Spread (Single Serve),Spreads,Spreads,Shawarma,,E,Torso,40.0,Sunday,2023-03-19,Online,Old,,1.0,1.0,40.0,40.0,,,,VA-Torso,Non AF50,,NA,Spreads,,,,,,,,,,,,,,,,,,,,,
