city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,hub.sku.day,city.sku.day,BasePlan,BaseRev
Mumbai,POW,64,pr_meyku6qvzqq,Lamb - Mince,Lamb & Goat,Lamb & Goat,Lamb carcass,,E,,945.0,Wednesday,2023-04-05,Online,Old,,1.0,1.0,945.0,945.0,,,,Tail,High Volume,,Lamb carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Kondapur,17,pr_3lyki5xft44,Brown Eggs - Pack Of 12,Eggs,Eggs,Brown Eggs,,E,,210.0,Friday,2023-12-15,Online,Old,,7.0,7.0,1470.0,1470.0,,,,Tail,High Volume,,Brown eggs,Eggs,,,,,,,,,,,,,,,,,,,,,
Bangalore,KOM,-4,pr_6j4jhlmzwle,Freshwater Catla - Bengali Cut (Without Head),Fish & Seafood,Fish & Seafood,Catla - medium,,E,Tail,339.0,Saturday,2023-03-04,EBO,Old,,3.0,3.0,1017.0,1017.0,,,,Tail,EBO,,Catla,Fish & Seafood - Curry Cuts,,,,,,,,20.0,,,,,,,,,,,,,
Kolkata,SNP,220,pr_3rkjm1v51mm,Basa Cubes (Boneless),Fish & Seafood,Fish & Seafood,Basa,,E,,429.0,Thursday,2023-04-13,Online,Old,,2.0,3.0,858.0,1287.0,,,,Tail,Low Volume,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
NCR,EBOGLR,-4,pr_8izjlf6xn0k,Basa Fillet - (Platinum Grade),Fish & Seafood,Fish & Seafood,Basa,,E,,549.0,Tuesday,2023-11-21,EBO,Old,,4.0,4.0,2196.0,2196.0,,,,Tail,EBO,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
Mumbai,KHGR,89,pr_8jvklgaboqk,Chicken Malai Tikka,Kebab & Tandoor,Kebab & Tandoor,Chicken - Thigh Boneless,,E,,267.0,Tuesday,2023-08-29,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Head,Low Volume,,Chicken,Kebab - Thigh,,,,,,,,,,,,,,,,,,,,,
Mumbai,KHGR,89,pr_2s9jxbyuqhw,"Mackerel Small - Whole, Cleaned",Fish & Seafood,Fish & Seafood,Mackerel Small,,E,,399.0,Sunday,2023-08-13,Online,Old,,0.0,0.0,0.0,0.0,,,,Target Group,Low Volume,,Mackerel,Small Fishes,,,,,,,,,,,,,,,,,,,,,
Bangalore,KOM,8,pr_5994436622944,Yellowfin Tuna Small - Boneless Cubes,Fish & Seafood,Fish & Seafood,Tuna yellowfin ( Small ),,E,,749.0,Saturday,2023-07-15,Online,Old,,0.0,0.0,0.0,0.0,,,,Tail,High Volume,,Tuna yellowfin,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
Chennai,ZT,-2,pr_4q4jya5rtvg,Chunky Shawarma Chicken Spread,Spreads,Spreads,Shawarma,,E,Tail,193.0,Monday,2023-03-13,Merchant,Old,,0.0,0.0,0.0,0.0,,,,Tail,Merchant,,NA,Spreads,,,,,,,,,,,,,,,,,,,,,
Pune,WKD,58,pr_cril2or6s6f,"Freshwater Prawns 40C-60C - Cleaned & Deveined, With Tail - Large Pack",Fish & Seafood,Fish & Seafood,Prawn medium (40 to 60 Count),,E,,1.0,Saturday,2023-05-20,Online,Old,,0.0,0.0,0.0,0.0,,,,Tail,High Volume,,Prawn,Prawn - Peeled & Deveined,,,,,,,,,,,,,,,,,,,,,
Central_India,RAIPUR,851,pr_wtlild77rc,Chicken 65 Kabab Masala,Masalas,Masalas,Masalas,,E,,59.0,Saturday,2024-01-20,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Tail,Low Volume,,Masalas,Masala,,,,,,,,,,,,,,,,,,RAIPURpr_wtlild77rcSaturday,Central_Indiapr_wtlild77rcSaturday,False,False
Kolkata,BUR,221,pr_mxclhos42cv,Mutton Paya (Hooves),Lamb & Goat,Lamb hoof,Goat carcass,,E,,549.0,Thursday,2023-05-25,Online,New,,2.0,3.0,1098.0,1647.0,,,,Target Group,High Volume,,Lamb & Goat,Lamb & Goat,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Kukatpally,16,pr_fhijtgw0ctk,Chicken Soup Bones - (Classic),Ready to Cook,Ready to Cook,Chicken,,E,,67.0,Thursday,2023-10-05,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Head,High Volume,,Chicken,Bone,,,,,,,,,,,,,,,,,,,,,
NCR,KLK,28,pr_fhijtqu0u5q,Chicken Mini Bites (Boneless),Chicken,Chicken,Chicken,,E,,209.0,Friday,2023-08-25,Online,Old,,38.0,53.0,7942.0,11077.0,,,,Torso,High Volume,,Chicken,Chicken - BL,,,,,,,,,,,,,,,,,,,,,
Kolkata,SNP,220,pr_57887e4149c4f,Sunday Roast Chicken - Whole,Ready to Cook,Ready to Cook,Whole Chicken with Skin,,E,,535.0,Friday,2024-01-26,Online,Old,,1.0,1.0,535.0,535.0,,,,VA-Tail,Low Volume,VA-TailELow Volume,Chicken,Chicken - Whole,,,,,,,,,,,,,,SNPpr_57887e4149c4fFriday,,,,,,True,True
Mumbai,CHM,81,pr_41jku6qp0fd,Seer Small - Steaks,Fish & Seafood,Fish & Seafood,Seer - small,,E,,1129.0,Monday,2023-06-12,Online,Old,,0.0,0.0,0.0,0.0,,,,Tail,High Volume,,Seer,Fish & Seafood - Steaks,,,,,,,,,,,,,,,,,,,,,
Mumbai,POW,64,pr_mc6l4zmw1so,Crispy Chicken Wings -7 Pieces,Ready to Cook,Ready to Cook,Chicken,,E,,87.0,Saturday,2023-04-15,Online,Old,,6.0,6.0,522.0,522.0,,,,VA-Torso,High Volume,,Chicken,Wingette,,,,,,,,,,,,,,,,,,,,,
Mumbai,GDB,154,pr_jxjliso7d55,Lamb Mince - 225g,Lamb & Goat,Lamb & Goat,Lamb carcass,,E,,435.0,Sunday,2023-08-20,Online,Old,,4.0,4.0,1740.0,1740.0,,,,Tail,High Volume,,Lamb carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,,,,
Pune,KYN,139,pr_ntcjmw1avau,Fish Finger,Ready to Cook,Ready to Cook,Basa,,E,,294.0,Monday,2023-10-30,Online,Old,,1.0,1.0,294.0,294.0,,,,VA-Head,High Volume,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
Mumbai,CHM,81,pr_ne2kzdnxy76,Goan Prawn Curry - (Medium Prawns),Ready to Cook,Ready to Cook,Prawn medium (40 to 60 Count),,E,,356.0,Thursday,2023-12-21,Online,Old,,1.0,1.0,356.0,356.0,,,,VA-Tail,High Volume,,Prawn,Prawn - Peeled & Deveined,,,,,,,,,,,,,,,,,,,,,
Vizag,MVP,183,pr_599441c9064f2,Freshwater Rohu Large - Bengali Cut No Head,Fish & Seafood,Fish & Seafood,Rohu - large,,E,,275.0,Monday,2023-10-30,Online,Old,,0.0,0.0,0.0,0.0,,,,Torso,Low Volume,,Rohu,Fish & Seafood - Curry Cuts,,,,,,,,,,,,,,,,,,,,,
Pune,Pune,-1,pr_84jkzwewka1,"Blue Crab Extra Small - Whole, Cleaned",Fish & Seafood,Fish & Seafood,Blue crab (Extra small),,P,Tail,785.0,Friday,2023-02-03,Online,Old,,0.0,0.0,0.0,0.0,,,,Tail,Non AF50,,Crab,Crab- Whole,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Himayatnagar,25,pr_fmhkgtbdprx,Chicken Breast Boneless - Large Pack,Chicken,Chicken,Chicken,,E,,565.0,Thursday,2023-09-07,Online,Old,,6.0,8.0,3390.0,4520.0,,,,Tail,High Volume,,Chicken Breast Boneless,Chicken - BL,,,,,,,,,,,,,,,,,,,,,
Pune,MGP,59,pr_fsglbgf2hjy,Chicken Drumsticks - Pack of 2 (Mini Pack),Chicken,Chicken,Chicken,,E,,99.0,Friday,2023-06-23,Online,Old,,16.0,22.0,1584.0,2178.0,,,,Tail,High Volume,,Chicken,Drumstick,,,,,,,,,,,,,,,,,,,,,
