city_name,hub_id,hub_name,hub_type,product_id,product_name,category,sub_category,order_dt,process_dt,corrected_sales,sales,revenue,product_discount,coupon_discount,instant_discount,licious_cash,licious_cashp,cgst,sgst
Mumbai,81,CHM,0.0,pr_2j9jxbzk1cl,Chicken Leg Curry Cut (Large - 4 pieces),Chicken,Chicken,2024-07-02,2024-07-02,2.0,2.0,478.0,0.0,0.0,0.0,1.7725587144622992,0.0,0.0,0.0
Kolkata,221,BUR,0.0,pr_eq3lbgf566f,Chicken Keema - 250 gms (Mini Pack),Chicken,Chicken,2024-04-01,2024-04-02,2.0,2.0,330.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
Hyderabad,374,LBN,0.0,pr_599441c9064f2,Freshwater Rohu Large - Bengali Cut No Head,Fish & Seafood,Fresh Water,2024-03-30,2024-03-30,3.0,3.0,973.84,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Pune,88,KNDH,0.0,pr_ikuk3im2bid,Lucknowi Mutton Galouti Kebab,Kebab & Tandoor,Kebab & Tandoor,2024-05-05,2024-05-05,4.0,4.0,1596.0,0.0,0.0,0.0,10.37325905292479,0.0,85.51,85.51
Hyderabad,142,SDB,0.0,pr_3zxlai240t2,Chicken Leg With Thigh - Pack of 3,Chicken,Chicken,2024-08-12,2024-08-13,1.0,1.0,275.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Bangalore,734,EBOKOM,2.0,pr_9zgl95u75wz,,,,2024-04-22,2024-04-22,2.0,2.0,518.0,0.0,0.0,0.0,0.0,0.0,12.34,12.34
NCR,48,GZB,0.0,pr_1puko17mted,Chunky Continental Egg Spread- 200 gms jar,Spreads,Spreads,2024-06-12,2024-06-12,1.0,1.0,149.00000610351563,14.9,0.0,0.0,28.207030743638935,0.0,7.179999828338623,7.179999828338623
Bangalore,46,CLT,0.0,pr_590f2bc508b4a,Classic Eggs - Pack Of 6,Eggs,Eggs,2024-12-27,2024-12-27,8.0,8.0,528.0,32.0,19.0,0.0,8.648955748896215,0.0,0.0,0.0
Pune,1810,HinjewadiPhaseOne,2.0,pr_miylkjkms3o,FarmFresh ClassicEgg Packof-10,Eggs,Eggs,2024-05-29,2024-05-29,2.0,2.0,229.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCR,157,SMS,0.0,pr_57ac8c42ee432,Country Chicken - Curry Cut,Chicken,Chicken,2024-07-12,2024-07-13,2.0,2.0,833.530029296875,0.0,0.0,0.0,6.1062979851300945,0.0,0.0,0.0
Bangalore,130,KDB,0.0,pr_4cyjya5vxs7,Chunky Butter Chicken Spread (Single Serve),Spreads,Spreads,2024-03-08,2024-03-09,2.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,5.25,5.25
Hyderabad,374,LBN,0.0,pr_fhijtqu0u5q,Chicken Mini Bites (Boneless),Chicken,Chicken,2024-10-05,2024-10-05,4.0,4.0,862.6300048828125,40.0,50.0,0.0,16.02504248485435,0.0,0.0,0.0
Mumbai,61,WRL,0.0,pr_576360a8b87f1,Mutton Liver Chunks,Lamb & Goat,Lamb & Goat,2024-03-04,2024-03-04,1.0,1.0,349.0,69.8,0.0,0.0,0.0,0.0,0.0,0.0
Bangalore,10,HOODI,0.0,pr_fsglbgf2hjy,Chicken Drumsticks - Pack of 2 (Mini Pack),Chicken,Chicken,2024-04-03,2024-04-04,7.0,7.0,763.0,0.0,0.0,0.0,27.378272610251777,23.59613802658354,0.0,0.0
Mumbai,98,BOR,0.0,pr_as7ki5xe5ts,Classic Eggs - Pack Of 12,Eggs,Eggs,2024-10-17,2024-10-17,23.0,23.0,4094.0000292968753,916.72,16.0,0.0,107.14000830465253,0.0,0.0,0.0
Chennai,73,MGR,0.0,pr_3nqjtzosblz,Chicken Thigh (Boneless),Chicken,Chicken,2024-04-18,2024-04-19,8.0,9.0,3167.2299999999996,243.33000000000004,0.0,0.0,89.07787771329677,0.0,0.0,0.0
Indore,1493,BombayHospital,2.0,pr_miylkjkms3o,FarmFresh ClassicEgg Packof-10,Eggs,Eggs,2024-05-15,2024-05-15,8.0,8.0,885.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,77,ECR,0.0,pr_57ac8c42ee432,Country Chicken - Curry Cut,Chicken,Chicken,2024-08-07,2024-08-08,5.0,5.0,2073.9599609375,0.0,0.0,0.0,164.47150353766278,0.0,0.0,0.0
Pune,57,BNR,0.0,pr_fhijtqu0u5q,Chicken Mini Bites (Boneless),Chicken,Chicken,2024-03-02,2024-03-02,59.0,59.0,12710.710000000001,10.73,0.0,0.0,881.6502172961957,0.0,0.0,0.0
NCR,122,SMG,0.0,pr_1puko17mted,Chunky Continental Egg Spread- 200 gms jar,Spreads,Spreads,2024-07-27,2024-07-28,1.0,1.0,149.0,15.0,0.0,0.0,9.161050883875378,0.0,7.179999828338623,7.179999828338623
NCR,122,SMG,0.0,pr_6j4jhm2t05x,Catla Head (1 Nos),Fish & Seafood,Fresh Water,2024-07-10,2024-07-10,2.0,2.0,118.0,0.0,0.0,0.0,0.8990476190476191,0.0,0.0,0.0
Bangalore,8,KOM,0.0,pr_fhijtqu0u5q,Chicken Mini Bites (Boneless),Chicken,Chicken,2024-06-06,2024-06-07,1.0,1.0,216.1999969482422,44.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata,220,SNP,0.0,pr_1lo6wcszh,Crispy Chicken Nuggets,Ready to Cook,Ready to Cook,2024-10-14,2024-10-15,1.0,1.0,169.0,0.0,0.0,0.0,12.04367816091954,0.0,9.960000038146973,9.960000038146973
Bangalore,1,TUB,0.0,pr_fhijtqu0u5q,Chicken Mini Bites (Boneless),Chicken,Chicken,2024-04-26,2024-04-26,65.0,66.0,13890.720000000005,0.0,181.0,0.0,777.4454431250225,31.849954910001866,0.0,0.0
Hyderabad,50,CDN,0.0,pr_ggvku2pfn6u,Crispy Chicken Cutlet,Ready to Cook,Ready to Cook,2024-03-23,2024-03-24,1.0,1.0,169.00500000000002,0.0,0.0,0.0,0.0,0.0,9.55,9.55
Kolkata,541,LKT,0.0,pr_fsglbgf2hjy,Chicken Drumsticks - Pack of 2 (Mini Pack),Chicken,Chicken,2024-09-30,2024-09-30,5.0,5.0,645.0000146484375,43.61,16.0,0.0,18.036387679132375,0.0,0.0,0.0
Bangalore,8,KOM,0.0,pr_4cyjya5ry5e,Chunky Butter Chicken Spread,Spreads,Spreads,2024-01-25,2024-01-25,1.0,1.0,249.0,24.9,0.0,0.0,14.368262873171709,0.0,12.01,12.01
NCR,26,BKC,0.0,pr_lvl8sn6cql,Goat Curry Cut (500 gm),Lamb & Goat,Lamb & Goat,2024-01-23,2024-01-23,4.0,4.0,2656.6800000000003,117.96000000000001,0.0,0.0,145.52449705297136,0.0,0.0,0.0
Pune,1927,SIAlphaHomes,2.0,pr_miylkjkms3o,FarmFresh ClassicEgg Packof-10,Eggs,Eggs,2024-04-04,2024-04-04,3.0,3.0,332.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangalore,46,CLT,0.0,pr_4cyjya5ry5e,Chunky Butter Chicken Spread,Spreads,Spreads,2024-05-16,2024-05-16,2.0,2.0,498.00001220703126,49.8,0.0,0.0,1.0000000272356788,0.0,24.020000457763672,24.020000457763672
Bangalore,2,KAM,0.0,pr_ifbjsbnk1t2,Indian Salmon - Rawas - Gurjali Fillet -,Fish & Seafood,Sea water,2024-03-13,2024-03-13,1.0,1.0,1066.27,0.0,0.0,0.0,5.93333832226175,20.459787318143967,0.0,0.0
