city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,BasePlan,BaseRev,pr_io2l5gg3wmg,Correct_City,buffer_qty_at_upstream,...28
Mumbai,CHM,81,pr_599441c9064f2,Freshwater Rohu Large - Bengali Cut No Head,Fish & Seafood,Fish & Seafood,Rohu - large,,E,,349.0,Wednesday,2023-04-05,Online,Old,,5,6,1745.0,2094.0,,,,Tail,High Volume,,Rohu,Fish & Seafood - Curry Cuts,,,,,,,,,,,,,,,,,,,,,,,
Chennai,TBM,112,pr_2s9jxbzf5ox,Yellowfin Tuna Medium - Boneless Cubes,Fish & Seafood,Fish & Seafood,Yellowfin Tuna ( Medium ),,E,Torso,489.0,Friday,2023-03-31,Online,Old,,0,0,0.0,0.0,,,,Tail,Low Volume,,Tuna yellowfin,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,ECL,377,pr_inuk3ilznwg,Purani Dilli ki Mutton Seekh Kebab,Kebab & Tandoor,Kebab & Tandoor,Lamb carcass,,E,Tail,330.0,Saturday,2023-03-18,Online,Old,,0,0,0.0,0.0,,,,VA-Head,Non AF50,,NA,Lamb & Goat,,,,,,,,,,,,,,,,,,,,,,,
Chennai,TBM,112,pr_o2hlatbhe9i,Chicken 65,Ready to Cook,Ready to Cook,Chicken,,E,,222.0,Tuesday,2023-05-30,Online,Old,,3,3,666.0,666.0,,,,VA-Tail,Low Volume,,Chicken,Chicken - CC,,,,,,,,,,,,,,,,,,,,,,,
Vijayawada,BNZ,180,pr_15cko17ou95,Chunky Garlic Mustard Egg Spread -35 Gms Blister,Spreads,Others,Shawarma,,E,Tail,26.0,Tuesday,2023-02-07,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,Non AF50,,NA,Spreads,,,,,,,,,,,,,,,,,,,,,,,
Coimbatore,BJN,136,pr_fhijtgw0ctk,Chicken Soup Bones - (Classic),Ready to Cook,Ready to Cook,Chicken,,E,,67.0,Saturday,2023-09-30,Online,Old,,2,2,134.0,134.0,,,,VA-Tail,Low Volume,,Chicken,Bone,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Trimulgherry,24,pr_nalklga5atr,Tangdi Kebab,Kebab & Tandoor,Kebab & Tandoor,Chicken Drumstick,,E,,240.0,Tuesday,2023-05-23,Online,Old,,1,1,240.0,240.0,,,,VA-Head,Low Volume,,Chicken,Kebab - Drumstick,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,HOODI,10,pr_faakez9g2tb,Tiger Prawns Large (16C to 20C) - Cleaned and Deviened with Tail,Fish & Seafood,Fish & Seafood,Tiger Prawn ( 16C - 20C),,E,Torso,629.0,Friday,2023-03-03,Online,Old,,1,1,629.0,629.0,,,,Tail,Non AF50,,Tiger Prawn,Prawn - Peeled & Deveined,,,,,,,,161.0,,,,,,,,,,,,,,,
Chennai,ECR,77,pr_15tkn7c9h5u,Smoked Chicken Wings ( with Skin ),Ready to Cook,Ready to Cook,Chicken,,E,Head,149.0,Saturday,2023-02-04,Online,Old,,2,2,298.0,298.0,,,,VA-Head,Low AF50,,Chicken,Drummet,,,,,,,,,,,,,,,,,,,,,,,
Pune,KOTH,102,pr_1kjl10wivdx,Chicken 65,Chicken,Chicken,Chicken,,E,,109.0,Friday,2023-12-29,Online,Old,,1,2,109.0,218.0,,,,Tail,Low Volume,,Chicken,Chicken - CC,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,KHGR,89,pr_eq3lbgf566f,Chicken Keema - 250 gms (Mini Pack),Chicken,Chicken,Chicken,,E,,159.0,Friday,2023-06-09,Online,Old,,6,8,954.0,1272.0,,,,Tail,Low Volume,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,,,
NCR,CCS,21,pr_e9lkuwnpwe2,Frank's Buffalo Chicken Wings,Ready to Cook,Ready to Cook,Chicken,,E,,178.0,Thursday,2023-11-09,Online,Old,,1,1,178.0,178.0,,,,VA-Torso,High Volume,,Chicken,Wing with skin,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,VSH,65,pr_ncplaqh1yxx,Original Tandoori Chicken Masala,Masalas,Masalas,,,E,,55.0,Thursday,2023-07-13,Online,Old,,2,2,110.0,110.0,,,,VA-Tail,Low Volume,,,Masala,,,,,,,,,,,,,,,,,,,,,,,
Pune,MGP,59,pr_jlwjrt7w7gi,Chicken Loaf(Smoked & Sliced),Cold Cuts,Cold Cuts,Chicken Chilli Ham Smoked,,E,,267.0,Wednesday,2023-05-17,Online,Old,,1,1,267.0,267.0,,,,VA-Head,High Volume,,Chicken Chilli Ham Smoked,Cold Cuts - All,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,BEG,134,pr_faakepqiw2j,Chicken Gizzard,Chicken,Chicken,Chicken Gizzard,,E,,120.0,Monday,2023-05-08,Online,Old,,5,5,600.0,600.0,,,,Target Group,High Volume,,Chicken Offals,Chicken - Offals,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,VSH,65,pr_ggylaqh46m8,Khansama Biryani Masala,Masalas,Masalas,,,E,,75.0,Monday,2023-05-08,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,Low Volume,,,Masala,,,,,,,,,,,,,,,,,,,,,,,
NCR,NOI,33,pr_ln4kreraeok,"Flower Shrimp 70-110C - Cleaned & Deveined, No Tail",Fish & Seafood,Fish & Seafood,Flower shrimp ( 70 to 110 C ),,E,Tail,1.0,Saturday,2023-01-28,Online,Old,,0,0,0.0,0.0,,,,Tail,High AF50,,Prawn,Prawn - Peeled & Deveined,,,,,,,,,,205.0,,,,,,,,,,,,,
Kolkata,LKT,541,pr_ffojtsk929c,Oriental Basil Chicken,Ready to Cook,Ready to Cook,Chicken,,E,,178.0,Wednesday,2023-11-08,Online,Old,,1,1,178.0,178.0,,,,VA-Tail,Low Volume,,Chicken,Chicken - BL,,,,,,,,,,,,,,,,,,,,,,,
NCR,SMG,122,pr_ifnks06gf1m,Duck Eggs - Pack Of 6,Eggs,Eggs,Duck eggs,,E,Tail,135.0,Sunday,2023-01-15,Online,Old,,0,0,0.0,0.0,,,,Tail,Low AF50,,Duck eggs,Eggs,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,HSR,5,pr_2j2k4wo0fhs,Tilapia Small - Fillet,Fish & Seafood,Fish & Seafood,Tilapia,,E,Torso,225.0,Sunday,2023-02-26,Online,Old,,3,4,675.0,900.0,,,,Tail,High AF50,,Tilapia,Fish & Seafood - Cubes/Fillet,,,,,Bangalore,Stores,,33.0,,,,,,,,,,,,,,,
Bangalore,HOODI,10,pr_hd2jpfd81gp,Nilgiri Fish Tikka,Ready to Cook,Ready to Cook,Basa,,E,,312.0,Wednesday,2023-05-10,Online,Old,,1,1,312.0,312.0,,,,VA-Head,High Volume,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,,,
